genre,director actor1 actor2 title,year,rating,releasedate
Adventure,Kyle Romanek Douglas Cathro Gaby Dunn Arg Stairs,2017,4.1,19-Oct-17
Comedy,Ben Matukewicz Abby Berg Will Forget Almost a Weekend,2015,8.4,9-Apr-15
Adult,Joe Williams Amber Lynn Harry Reems Some Kind of Woman,1985,5.2,19-Jul-85
Comedy,Joseph Green Nora Hayden Kaye Ballard The Perils of P.K.,1986,3.2,Jun-86
Drama,Herbert Ross Steve Martin Bernadette Peters Pennies from Heaven,1981,6.5,1-Jan-82
Crime,Vilan Trub Antonio Robles Ausar English Susie Q,2016,8.4,28-Apr-16
Action,Michael Katleman Dominic Purcell Orlando Jones Primeval,2007,4.7,12-Jan-07
Comedy,None Joshitsuo Montoya Kevin Strange Nixon and Hogan Smoke Christmas,2010,4.3,20-Mar-10
Action,None Keanu Reeves Dennis Hopper Speed,1994,7.2,10-Jun-94
Action,Clayton Miller Bradley Dorsey Chris Ebling Sterling: The Secret of the Lost Medallion,2009,5.8,27-Feb-09
Drama,Elvis Restaino Kendra Jaymes Jo Marr See Dick Die,1999,7,NA
Drama,Kyle Patrick Alvarez Brian Geraghty Kel O'Neill Easier with Practice,2009,6.5,26-Aug-10
Horror,Darin Scott Jeffrey Combs Meghan Ory Dark House,2009,5,19-Apr-09
Drama,None Justice Leak Robert Pralgo Implanted,2013,3,6-Dec-13
Adult,Alex de Renzy Stacey Donovan Melissa Melendez Doctor Penetration,1986,6.4,NA
Family,Glenn Tucker Joey Keeper Ron McPherson The Adventures of Jody Shanan,1978,3.8,NA
Sci-Fi,Philip J. Cook Hans Bachmann A. Thomas Smith Invader,1992,4.1,May-92
Adventure,Jeff Vargen Ron Kauk Ron Kauk Assault on El Capitan,2013,7,25-Sep-13
Comedy,John Ryman Mackenzie Astin John Ales The Zeros,2001,6.7,10-Mar-01
Comedy,Arthur Hiller George C. Scott Diana Rigg The Hospital,1971,7.3,16-Jun-72
Comedy,Anthony Catanese Craig Kelly Allan Sconza Sodomaniac,2015,6.7,2015
Action,None Clint Eastwood Charlie Sheen The Rookie,1990,5.9,7-Dec-90
Drama,Wes Terray Mark Emerson Craig Engleman Leverage,2005,7.8,21-Oct-05
Comedy,Nick Weiss Nick P. Ross J.R. Ramirez Drunk Wedding,2015,4.6,22-May-15
Horror,Chris D. Josh Coxx Eleanor Whitledge I Pass for Human,2004,5.6,21-Mar-04
Drama,Tim Bridwell John Littlefield Marie Ravel Rendezvous in Samarkand,1999,7.4,26-Oct-99
Comedy,Melissa Finell Anna Lise Phillips Jill E. Alexander Sensitivity Training,2016,8.9,5-Jun-16
Action,Alain Desrochers Antonio Banderas Ben Kingsley Security,2017,5.7,2017
Drama,Clyde Ware Martin Sheen Davey Davison No Drums  No Bugles,1972,6.3,23-Feb-72
Comedy,John Erick Dowdle Chip Godwin Casey Strand The Dry Spell,2005,6.5,21-Jan-05
Adventure,Amy Glazer Tailinh Agoyo Isabella Blake-Thomas Kepler's Dream,2017,6.2,7-Oct-16
Crime,Antoni Stutz Beau Bridges Haley Webb Rushlights,2013,6.2,24-Jul-13
Drama,Jason Shahinfar Sam Mallo Dani Niedzielski Cut from Home,2009,6.7,2009
Adult,Pat Ruby Buck Adams Sunny McKay Cocktails,1990,6.3,NA
Adventure,None Regina Reagan Stephen Bent The Gnomes Great Adventure,1995,6,NA
Comedy,Phil Alden Robinson Robert Redford Dan Aykroyd Sneakers,1992,7.1,11-Sep-92
Action,Mikey Hilb Eric Lively Kellan Lutz Deep Winter,2008,4.7,2008
Drama,Martin Ritt Sally Field Beau Bridges Norma Rae,1979,7.4,2-Mar-79
Comedy,Jack Smight Gabe Kaplan Harold Sylvester Fast Break,1979,6,Oct-83
Drama,Nathan Kurosawa Jim Aina Natalie Albanese 6B: An Anthology of Hawaii Films,2011,9.2,11-Oct
Action,Gary Davis Jeffrey Warshaw Ashley Undercuffler Don't Mess with the IRS,2010,7.9,23-Feb-10
Mystery,Andy Galler Matt Mitler Haskell Phillips Bums,1993,6,NA
Adventure,Ken Kwapis Cyndi Lauper Jeff Goldblum Vibes,1988,5.5,5-Aug-88
Action,Bob Misiorowski Michael Paré Barbara Carrera Point of Impact,1993,2.8,5-Jan-95
Drama,Mark Bender Alexandra Adams Leonor Anthony The Limits of Thermal Travelling,1995,8.7,NA
Adult,Vince Benedetti Ron Jeremy Nikki King Big Top Cabaret 2,1989,6.5,NA
Comedy,Bruce Beresford Eddie Murphy Britt Robertson Mr. Church,2016,7.6,16-Sep-16
Action,Corey Allen Rock Hudson Mia Farrow Avalanche,1978,3.7,29-Sep-78
Comedy,Michael Baez Jatnna Toribio Giselle Blondet Feliz Navidad,2006,7.4,6-Jan
Musical,Ethan Higbee Mel Matrix Noe Red Apples Falling,2009,7.8,30-Jul-09
Comedy,Richard Rush Elliott Gould Candice Bergen Getting Straight,1970,6.2,13-May-70
Drama,Ron Pike Daniel Allen Kent Irakli Tabidze Friends and Lovers,2010,6,7-Aug-10
Comedy,Vilma Zenelaj Noel Elgrably Steven Gorel What Do I Do Now?,2009,5.9,NA
Adult,Richard Kanter Georgina Spelvin Dorothy LeMay Sensual Encounters of Every Kind,1978,6.1,1978
Comedy,Joseph Sargent Dyan Cannon Robert Blake Coast to Coast,1980,5.2,3-Oct-80
Drama,John Polson Jesse Bradford Erika Christensen Swimfan,2002,5,6-Sep-02
Crime,Eli Roth Lauren German Heather Matarazzo Hostel: Part II,2007,5.5,8-Jun-07
Comedy,None Mark Blankfield Bess Armstrong Jekyll and Hyde... Together Again,1982,6.2,25-Feb-83
Drama,Ray Genadry Abe Danz Karen Sours Albisua Front Man,2008,5.7,NA
Action,Glenn Gebhard Pat Berry Keith Brennan Desert Steel,1994,5.2,18-May-94
Comedy,Hadjii Tyler Craig Patt Brown Somebodies,2006,5.6,20-Jan-06
Crime,None Atul Sharma Fagun Thakrar Blood & Curry,2011,7.2,1-Aug-14
Comedy,John Swanbeck Kevin Spacey Danny DeVito The Big Kahuna,1999,6.6,19-May-00
Documentary,None Dan Fusselman Jaime Preciado This Is a Wasteland,2013,9.3,25-Nov-13
Drama,James Bruce Mariel Hemingway Robert Joy The Suicide Club,1988,4,21-May-88
Comedy,Paul Lazarus Laura Leighton Tim Daly Seven Girlfriends,1999,6,21-Apr-00
Adventure,Joe Pontillo Robert Cioffi Marie Farina Street of the Dead,2008,5,NA
Comedy,Onur Tukel Jonathan Caouette Zach Clark Summer of Blood,2014,5.4,17-Apr-14
Action,Jonathan Rios Kaycee Anne Linda Hines Supergirl V: Deadly Seduction,2015,5.2,12-Apr-15
Action,Jon Turteltaub Nicolas Cage Diane Kruger National Treasure,2004,6.9,19-Nov-04
Comedy,Blake Reigle Tiffany Fox Andy Freeman Beneath the Surface,2007,4.7,3-Jun-07
Action,Christopher Cain Jim Belushi Louis Gossett Jr. The Principal,1987,6.3,18-Sep-87
Drama,None Rosie Mac Matt Martin Little Mermaid,2016,4.4,2-Nov-16
Comedy,None Woody Allen Gene Wilder Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,6.8,31-Jan-73
Comedy,Don Michael Paul Dolph Lundgren Darla Taylor Kindergarten Cop 2,2016,4.5,18-May-16
Crime,Darren Doane Rick Rodney Bobby Field Godmoney,1999,5.2,10-Nov-99
Adventure,Dale Fabrigar Tanner Vale Taylor Vale Stone Markers,2012,5.4,NA
Comedy,Edward Zwick Jake Gyllenhaal Anne Hathaway Love & Other Drugs,2010,6.7,24-Nov-10
Comedy,George Roy Hill Julie Andrews James Fox Thoroughly Modern Millie,1967,7,22-Mar-67
Comedy,Henry Koster James Stewart Fabian Dear Brigitte,1965,6.3,8-Jan-65
Fantasy,Killian McGregor Liz Bradley Elizabeth Bress Volume 2,2006,8.2,22-Apr-06
Comedy,None Jeff Schubert Don Maloney Walking the Walk,2005,6.3,2-Apr-05
Action,Michael Winner Charles Bronson Hope Lange Death Wish,1974,7,24-Jul-74
Crime,David Schmoeller Christopher Boeres Hipp Michael Brown Little Monsters,2012,4.9,1-May-13
Crime,Doris Wishman Greg Conrad Dolores Carlos Hideout in the Sun,1960,4.8,NA
Adventure,Alex Ross Perry Riley O'Bryan Kate Lyn Sheil Impolex,2009,5.5,15-Jul-11
Drama,Marc Fusco Charlotte Ayanna Ethan Embry Rennie's Landing,2001,5.6,3-Oct-03
Family,Tom Whitus Jeff Fahey Katherine McNamara Matchmaker Mary,2008,6.7,8-Sep
Comedy,Herschell Gordon Lewis Virginia Bell William Kerwin Bell  Bare and Beautiful,1963,6,13-Sep-63
Comedy,Norman Tokar Fred MacMurray Tommy Steele The Happiest Millionaire,1967,6.9,7-Dec-67
Adventure,John Mark Maio Jeffrey Vandenburgh Melissa Lewis Harrington's Notes,2000,7.7,Sep-00
Horror,Anthony G. Sumner Kaylee Williams Marv Blauvelt III Slices of Life,2010,3.9,23-Oct-10
Comedy,Peyton Reed Kirsten Dunst Eliza Dushku Bring It On,2000,6,25-Aug-00
Crime,Simon West John Travolta Madeleine Stowe The General's Daughter,1999,6.3,18-Jun-99
Horror,Calvin Morie McCarthy Eric Brazeal Arjuna Dingman 3 Flies in a Widow's Web,2016,4.1,15-Mar-16
Comedy,None Kevin Keresey Michael McGee The Rat Thing,2007,7.3,2007
Action,Lexi Alexander Ray Stevenson Dominic West Punisher: War Zone,2008,6,5-Dec-08
Comedy,Mike B. Anderson Christopher Gasti Dru-Anne Cakmis Kamillions,1990,5.3,4-Oct-90
Drama,Sam Firstenberg John LaMotta Marvin Flint One More Chance,1983,5.8,29-Jan-83
Action,Roger Donaldson Kevin Costner Gene Hackman No Way Out,1987,7.1,14-Aug-87
Romance,R.G. Springsteen Rory Calhoun Corinne Calvet Apache Uprising,1965,5.6,29-Dec-65
Drama,Rocky Lane Jeremy Peter Johnson Jeff Buelterman The Homecoming,1996,5.4,NA
Horror,Bob Kelljan Robert Quarry Mariette Hartley The Return of Count Yorga,1971,5.7,20-Aug-71
Drama,William Rose Theresa Morgano Elizabeth Walker Rent-a-Girl,1965,4.5,15-Oct-65
Comedy,Jim C. Harris Nancy Lieberman Tom Campitelli Perfect Profile,1989,4.7,30-Jan-91
Action,Peter Weir Russell Crowe Paul Bettany Master and Commander: The Far Side of the World,2003,7.4,14-Nov-03
Comedy,Bruno de Almeida Michael Imperioli John Ventimiglia On the Run,1999,6.5,29-Jan-99
Comedy,Artur Levonovich Babayan Sally Kirkland Mikael Sharafyan The Bride from Vegas,2014,9.1,5-Oct-14
Drama,None Troy Byer Paget Brewster Let's Talk About Sex,1998,3.7,11-Sep-98
Comedy,Alex Zamm Scott 'Carrot Top' Thompson Courtney Thorne-Smith Chairman of the Board,1998,2.3,18-Sep-98
Drama,Lyle Holmes Joseph Hendrickson Selena Whitaker-Paquiet Lost on the B Side,2006,5,20-May-06
Drama,Alan L. Fraser Christian Campbell Jonelle Allen Next Time,1998,7.5,Oct-98
Horror,Joshua Patrick Dudley Zalynda Nikole Alvarez Rachel Alexandria Arnold Stab 5,2011,5.2,15-Jun-11
Horror,D. Max Walters Jason Winn 'J.B. Destiny' Bareford Bill McLaughlin 13 Score,2014,8.6,15-Apr
Comedy,Ivan Reitman Natalie Portman Ashton Kutcher No Strings Attached,2011,6.2,21-Jan-11
Crime,Samuel Cory Timpson Roland Matthews Angelica Chitwood Knavish Folk,2015,7.2,25-Jan-15
Adventure,Aaron Jackson Alejandro Galindo Ashlyn Maddox Ghost Story Chronicles,2013,9.2,18-Dec-13
Comedy,Frank Oz Steve Martin Michael Caine Dirty Rotten Scoundrels,1988,7.3,14-Dec-88
Comedy,Matthew Bonifacio Carmine Famiglietti Michael Aronov Lbs.,2004,6.9,26-Mar-10
Horror,Richard Friedman Derek Rydall Jonathan Goldsmith Phantom of the Mall: Eric's Revenge,1989,4.6,1-Dec-89
Drama,Antonio Tibaldi Ryan Phillippe Nastassja Kinski Little Boy Blue,1997,6.4,Aug-98
Drama,Audrey Wells Sarah Polley Stephen Rea Guinevere,1999,6,12-Nov-99
Adult,Carter Stevens Terri Johnson Paula Morton The Love Couch,1978,5.2,6-Mar-78
Comedy,Jim Jarmusch Tom Waits John Lurie Down by Law,1986,7.8,30-Oct-86
Action,Jacob T. Emery James Nevada Jim Toepper The Hour,2012,6.4,NA
Horror,None Eric Woster Frank Rhodes Sandman,1993,4.5,NA
Comedy,None Ivan Raimi Scott Spiegel It's Murder!,1977,6.7,NA
Drama,Kathleen Fitzgerald Sonya Gendron Kim Jalette Ring of the Bishop,2004,6.7,22-Dec-04
Crime,Antonia Bogdanovich Thomas Brodie-Sangster Rebecca Romijn Phantom Halo,2014,5.2,19-Jun-15
Comedy,Joe Nussbaum Amanda Bynes Sara Paxton Sydney White,2007,6.3,21-Sep-07
Drama,Jeff Probst Jenna Fischer Sarah Bolger Kiss Me,2014,6.1,14-Feb-14
Drama,Douglas Langway Troy Sostillio Henry White Raising Heroes,1996,5,24-Jun-96
Mystery,John Dahl Steve Zahn Paul Walker Joy Ride,2001,6.6,5-Oct-01
Horror,Robert Elkins Kyle Billeter Dewey Collins Zombie Isle,2014,2.5,7-Oct-14
Crime,Sean S. Cunningham Kate Mulgrew Rip Torn A Stranger Is Watching,1982,5.2,9-Sep-82
Comedy,Harvey Marks Stephen Macht Joel Brooks Swallows,1999,6.6,1999
Action,None Mark Hamill Harrison Ford Star Wars: Episode IV - A New Hope,1977,8.6,25-May-77
Adventure,George Cukor Maggie Smith Alec McCowen Travels with My Aunt,1972,6.4,25-Mar-73
Thriller,Eduardo Castrillo Tom Sizemore Eric Roberts Hunting Season,2016,3.3,7-Jun-16
Action,Danny Cannon Sylvester Stallone Armand Assante Judge Dredd,1995,5.5,30-Jun-95
Action,Jimmy Nickerson Rick Lindland Adrienne Janic N.B.T.,2003,6.8,NA
Biography,Robert Montgomery James Cagney Dennis Weaver The Gallant Hours,1960,7.1,13-Jun-60
Comedy,Andy Fickman Amanda Bynes Laura Ramsey She's the Man,2006,6.4,17-Mar-06
Action,Simon West Nicolas Cage John Cusack Con Air,1997,6.8,6-Jun-97
Sci-Fi,Drew Hall James Black Adam Cardon The Phoenix Rises,2012,2.3,10-Dec-12
Comedy,None Zoltan Zilai Madison Siple Captain Z & the Terror of Leviathan,2014,5.1,8-May-14
Horror,William Bindley Christopher McDonald Rachael Leigh Cook The Eighteenth Angel,1997,4.9,6-Dec-97
Comedy,Michael Legge Alan Kennedy Victor Dupuis Potential Sins,1997,4.4,NA
Drama,Jeromy Ceseña Mark Maccora Andrew Farotte Taken,2002,7.8,2-Jan
Action,None Kenshiro Akehi Mike Brennan Dirty Bomb,2012,5.8,12-Mar
Mystery,Merlin Miller Mark Valley Leon Coffee Jericho,2000,6.3,Oct-00
Crime,Elaine May Peter Falk John Cassavetes Mikey and Nicky,1976,7.4,21-Dec-76
Drama,Charles R. Penland Jessica Barrow Denee Busby Forbidden Woman,2013,4.2,NA
Crime,Douglas Borghi Billy Wirth Tuesday Knight Who Killed the Baby Jesus,1992,5.2,NA
Adult,Elliot Lewis Marlene Munroe Juliet Anderson Bad Company,1978,5.3,NA
Adult,William Black Bridgette Monroe Rocco Siffredi Anal Nation,1990,5.5,NA
Crime,Allen Hughes Tyrin Turner Larenz Tate Menace II Society,1993,7.5,26-May-93
Mystery,Brian De Palma John Travolta Nancy Allen Blow Out,1981,7.4,24-Jul-81
Comedy,David DeCoteau Daniel Bernhardt Rae Dawn Chong Knock 'em Dead,2014,5,1-Jun-14
Action,None Jennie Garth James Brolin My Brother's War,1997,5.4,1997
Crime,Brad Anderson Halle Berry Evie Thompson The Call,2013,6.7,15-Mar-13
Horror,Shawn Durr Jamie Mayhew Matthew Brumagen The Last Fuck,2003,6.9,29-Aug-03
Comedy,Harry Basil Burt Reynolds D.L. Hughley Cloud 9,2006,4.3,3-Jan-06
Drama,Ryan Ohm Claire Coppi Tyson Griffard Finn & the Sea of Noise,2013,7.9,15-Dec-13
Drama,None Phillip J. Berns Gladys Chmiel Baraboo,2009,7,17-Apr-10
Comedy,Alex Lehmann Noah Britton Ethan Finlan Asperger's Are Us,2016,6.7,11-Nov-16
Comedy,None Skye Noel Jen Lilley The Olivia Experiment,2012,6.5,14-Nov-12
Drama,Robert Kramer Tom Griffin Howard Loeb Babeuf The Edge,1968,6.6,27-Mar-68
Comedy,Howard Hassler William Vanarsdale Don Aldrich It Came from Somewhere Else,1988,5.7,NA
Drama,Paul Leder Frances Fisher Natasha Gregson Wagner Molly & Gina,1994,4.5,18-May-94
Comedy,Joe Nardelli Jeremy Ambler Teresa Ambler Toxic Tutu,2017,6,31-Dec-17
Action,Harold Becker Bruce Willis Miko Hughes Mercury Rising,1998,6.1,3-Apr-98
Drama,Billy Bob Thornton Tippi Hedren Kevin Bacon Jayne Mansfield's Car,2012,6.3,20-Aug-13
Action,Patrick G. Donahue Jean Glaudé Jeff Risk Kill Squad,1982,5.4,Jun-82
Adult,Richard Eagle Britt Morgan Peter North Let's Talk Dirty,1987,6,NA
Musical,Jessy Terrero Alberto Barros Jr. Jorge Leal Gerardo Ortiz: Como Un Sueno,2015,2.5,9-Oct-15
Horror,Robert F. Slatzer John Carradine Joi Lansing Bigfoot,1970,2.3,21-Oct-70
Drama,Estes Tarver Alex ter Avest Andre Gower Changeover,2016,8.5,12-Apr-16
Comedy,Ben Bowman Gbenga Akinnagbe Alfre Woodard Knucklehead,2015,7.5,16-Oct
Biography,Andrew Bergman Bette Midler Nathan Lane Isn't She Great,2000,5.4,28-Jan-00
Comedy,Todd Phillips Robert Downey Jr. Zach Galifianakis Due Date,2010,6.6,5-Nov-10
Drama,Victor Zarcoff Neville Archambault Sean Carrigan 13 Cameras,2015,5.1,15-Apr-16
Drama,Nicholas Tolkien Carrie Blanco David Brainard Anacapa,2010,7.1,NA
Horror,Douglas Schulze John Saxon David Emge Hellmaster,1992,2.7,16-Dec-92
Musical,None Lan Wei Leon Lai A Melody Looking,2006,5.4,14-Dec-06
Horror,Lynn Silver Bob Jenkins Ralph Lucas Ghost Stories: Graveyard Thriller,1986,3.1,NA
Crime,Steven Piet John Ashton Alex Moffat Uncle John,2015,6.3,18-Sep-15
Thriller,Manan Katohora Kashmira Shah Devasish Ray 9 Eleven,2011,6.5,NA
Action,Nick Castle Lance Guest Robert Preston The Last Starfighter,1984,6.7,13-Jul-84
Drama,Annette Haywood-Carter Hedy Burress Angelina Jolie Foxfire,1996,6.2,23-Aug-96
Drama,Zohaib Latif Jeff Mix Jack Ingram Lost Vegas Hiway,2017,6.2,11-Mar-17
Documentary,None Marlon Riggs Michael Bell Tongues Untied,1989,6.6,Jul-89
Western,John Hayes James Whitworth Shawn Devereaux Fandango,1970,5.3,15-Jul-70
Horror,William Brent Bell Fernanda Andrade Simon Quarterman The Devil Inside,2012,4.2,6-Jan-12
Drama,None Aaron Bennett Jon Conner Contrition,2012,3.3,20-Sep-12
Adventure,Gil Kenan Mitchel Musso Sam Lerner Monster House,2006,6.6,21-Jul-06
Comedy,Keva Rosenfeld Linda Hunt Brendan Fraser Twenty Bucks,1993,6.4,22-Oct-93
Drama,Alexandre Rockwell Tussi Bolden Benjamin Keepers Little Feet,2013,6.2,12-Dec-14
Comedy,Tamara Hernandez Steven Nelson Honey Lauren Men Cry Bullets,1998,5.5,8-Oct-99
Drama,Roger Corman John Hurt Raul Julia Roger Corman's Frankenstein Unbound,1990,5.5,2-Nov-90
Horror,Eric Red Famke Janssen Bobby Cannavale 100 Feet,2008,5.5,24-Jul-08
Comedy,David Sabal Jay Bennett Brennen Benson Death by VHS,2013,2,17-Sep-13
Adult,Craig Alexander Kimberly Carson Cara Lott Frisky Business,1984,6.4,26-Feb-90
Horror,Creep Creepersin Elissa Dowling Nicole Cinaglia Gritty,2013,7,13-Jan-13
Drama,Ira Sachs John Lithgow Alfred Molina Love Is Strange,2014,6.7,18-Dec-14
Drama,None Sean Brasfield Cara Sevier Tapestry of Shadows,2006,7.3,26-May-06
Horror,Ricardo Islas Joyce Porter Richard Pryor Jr. Bachelors Grove,2014,4.5,4-Jul-14
Crime,Bobby Moresco James Marsden Giovanni Ribisi 10th & Wolf,2006,6.4,12-Apr-07
Drama,Jennifer Dawn Chalet Lizette Brannan Peter Gaudio Flowers in the Snow-FTP,2015,9.4,28-Nov-15
Action,Philip Kaufman Sean Connery Wesley Snipes Rising Sun,1993,6.2,30-Jul-93
Drama,Jack Starrett Bonnie Bedelia Ken Howard The Strange Vengeance of Rosalie,1972,6,3-Jun-74
Drama,Bruno de Almeida Michael Imperioli John Ventimiglia The Lovebirds,2007,5.8,13-Mar-08
Crime,None Billy Kearney Victoria Corwin The Only Way,2004,7.8,21-May-04
Comedy,Tyler Amm Rachel Alig Amber Herfurth Grace's Room,2016,6.8,8-May-18
Drama,Annika Kurnick Elsa Carette Angela Gulner Molly Takes a Trip,2015,8.1,13-Apr-15
Thriller,Matt Mitchell Elliana Esquivel Amy Mitchell Pray 3D: The Storm,2012,3.2,4-Sep-12
Drama,David Lynch Sheryl Lee Ray Wise Twin Peaks: Fire Walk with Me,1992,7.2,28-Aug-92
Crime,Maury Dexter Steve Peck Lisa Lu Womanhunt,1962,6,28-Jan-62
Comedy,Eric Fleming Peter Allas Peter Arpesella The Almost Guys,2004,6.3,4-Mar
Drama,David Fitch Jason Nicola Claire Underwood Ethereal Everlasting,2011,7.6,30-Oct-11
Adult,Gary Graver Laura Lazare Janey Robbins Private Moments,1983,6.4,18-May-83
Action,Jordan Vogt-Roberts Tom Hiddleston Samuel L. Jackson Kong: Skull Island,2017,6.7,10-Mar-17
Drama,David Nixon Christina Rumore Cullen Douglas Making Waves,1998,5.7,NA
Comedy,Nick Hurran Samaire Armstrong Kevin Zegers It's a Boy Girl Thing,2006,6.3,26-Dec-06
Adventure,Phil Karlson Robert Mitchum Elsa Martinelli Rampage,1963,5.7,9-Oct-63
Horror,Shaun Mazerall Scott Mazerall James O'Sullivan The Basement,2015,7.8,16-Oct-15
Comedy,None Justin Roiland Fred Willard Fred & Vinnie,2011,5.9,11-Jan
Action,None Johnny Gel Fred Williamson Zombie Apocalypse: Redemption,2011,3.2,16-Apr-11
Sci-Fi,Jon Kroll Billy Campbell Stephanie Romanov Menno's Mind,1997,4.5,13-Dec-97
Comedy,Miceal Og O'Donnell Vicky Illk Thomas Vita Simple,2012,6.9,NA
Action,None Kurt Russell Steve Buscemi Escape from L.A.,1996,5.7,9-Aug-96
Drama,Michael Johnson Danny DeVito Virginia Madsen All the Wilderness,2014,5.9,20-Feb-15
Action,Johnny Dickie Joe Ankenbrand Katrina Basilio Slaughter Tales,2012,5,19-May-12
Horror,Ken Winkler Nikki Moore Scott Wilson Kiss the Abyss,2012,4.2,5-Jan-12
Comedy,Mark Waters Billy Bob Thornton Kathy Bates Bad Santa 2,2016,5.6,23-Nov-16
Comedy,Chris Randall Brad Norman James Karen America's Most Haunted,2013,4.3,29-Jan-14
Action,Dwayne Avery Carl Monson Angela Carnon Booby Trap,1970,4.3,1970
Adult,Harry Lewis Tigr Richard Bern Ladies Night,1980,6.1,1980
Thriller,James Merendino Steve Stanulis Lisa Hammer The Invisible Life of Thomas Lynch,2009,7,2-Aug-11
Crime,Anne Fletcher Channing Tatum Jenna Dewan Tatum Step Up,2006,6.5,11-Aug-06
Comedy,Fred Robbins Janet Lark Michael T. Sandman Three on a Match,1998,4.7,24-May-05
Adult,Leonard Kirtman Samantha Fox Merle Michaels Tara Tara Tara Tara,1981,6.1,1981
Action,Richard Ryan Anzu Lawson Mark Sivertsen Art of Deception,2017,8.3,1-Apr-17
Thriller,Pericles Lewnes David Arthur Adrian Bond Loop,2007,6.6,31-Oct-07
Crime,Mark Robson Paul Newman Edward G. Robinson The Prize,1963,6.8,25-Dec-63
Drama,William R. Greenblatt Lochlyn Munro Avery Schreiber Dying on the Edge,2001,4.5,NA
Adult,None Steven Blackwell Darby Lloyd Rains Slip Up,1975,5.8,31-Mar-75
Drama,Quentin Tarantino Jamie Foxx Christoph Waltz Django Unchained,2012,8.4,25-Dec-12
Action,Guy Patton Jennifer Barnes Marcus Bishop-Wright Pearl: The Assassin,2013,2.6,15-Jun
Drama,Patricia Rozema Abigail Breslin Stanley Tucci Kit Kittredge: An American Girl,2008,6.6,2-Jul-08
Biography,Oliver Stone Anthony Hopkins Joan Allen Nixon,1995,7.1,5-Jan-96
Comedy,Clint Berquist Jamal Allen Aaron Amaral Swamper,2005,7.6,4-Jun-05
Horror,Steven D. White Andrew Taylor Edith Snow Immortal,1995,4.5,NA
Drama,Matt Weinglass Davin Anderson Jeff Glassberg Into the Void,2000,6.1,3-Jun-00
Drama,Deji LaRay Conn Barrett Cixx Neighborhood Watch,2007,7.5,19-Jun-07
Drama,Franco Zeffirelli Jon Voight Faye Dunaway The Champ,1979,6.8,4-Apr-79
Drama,Frank Pestarino Jimmy Bennett Zakk Wylde Bones,2010,6.6,21-Aug-12
Family,None Nic Birdsall Gabriela Castillo Dude  Where's My Dog?!,2014,3.3,25-May-17
Sci-Fi,Mark Dodson Cindy Lou Adkins Warren Farina The Landing,2017,8.8,11-Feb-17
Drama,Robert Ground Ray Becker Cliff Anderson The Weird World of LSD,1967,3.3,8-Apr-67
Comedy,None Tyler Perry Loretta Devine Madea's Big Happy Family,2011,4.6,22-Apr-11
Drama,Danny Rogers Steven Sutherland Rodney Wiseman Surrender,2014,8.5,NA
Adult,None Sharon Mitchell Kathleen Gentry HHHHot! TV,1988,3.9,1988
Adult,Joseph W. Sarno Porsche Lynn Christine Robbins 21 Hump Street,1988,6.5,NA
Action,Rob Cohen Dennis Quaid Sean Connery DragonHeart,1996,6.4,31-May-96
Adventure,J. Lee Thompson Jeff East Paul Winfield Huckleberry Finn,1974,5.4,24-May-74
Action,Ted Post Chuck Norris Anne Archer Good Guys Wear Black,1978,5,Jun-78
Comedy,Daphna Kastner Mädchen Amick Jonathan Silverman French Exit,1995,4.6,14-Jul-98
Adult,Joe Verdi Joey Silvera Patti Cakes Sin City,1986,6.1,NA
Drama,Joseph W. Sarno Barbara Kemp Victor Bertini The Bed and How to Make It!,1966,7,4-Dec-66
Drama,Chris Robert Alexander Bannerman Diego Boneta Another You,2017,4.1,15-May-17
Horror,Tom Daley Deborah Winters James Huston The Outing,1987,5.2,21-Nov-87
Comedy,Rayen Belchere Danielle Aruta John Barnett Neato Mosquito,2009,7.8,1-May-12
Drama,Doris Wishman Jim Antonio Sandra Sinclair Gentlemen Prefer Nature Girls,1963,5.2,14-Jun-63
Comedy,William T. Naud Michael Michaud Maggie Hughes Ricky 1,1988,1.4,NA
Drama,John Gianvito Bonnie Baisden Sherri Goen The Mad Songs of Fernanda Hussein,2001,6.8,1-Oct
Thriller,Mike Sedan Doug Jeffery Jennifer Burton Mischievous,1996,4.9,1-Dec-00
Drama,Jonas McCord Antonio Banderas Olivia Williams The Body,2001,5.4,13-Dec-01
Drama,David Siegel Joseph Gordon-Levitt Lynn Collins Uncertainty,2008,5.8,4-Aug-12
Drama,James Bryan Fred Lorenzen Frank Millen I Love You  I Love You Not,1974,6.8,1974
Adult,Ken Gibb Lisa De Leeuw Nicole Black Summer of '72,1987,6.4,19-Aug-87
Comedy,Alan Rudolph Meat Loaf Kaki Hunter Roadie,1980,5.1,13-Jun-80
Drama,None Jon Bernthal Bruce McGill A Line in the Sand,2008,7.4,10-Sep-13
Comedy,G.J. Echternkamp Rene Russo Oliver Platt Frank and Cindy,2015,6.1,16-Jun-15
Comedy,Leslie Rohland Artie Flecher Jim Florentine White Chicks  Incorporated,1998,6.5,1-Oct-98
Comedy,Chris Seaver Josh Suire Meredith Host Evil Night,2014,5.1,10-Sep-14
Action,Kurt Wimmer Milla Jovovich Cameron Bright Ultraviolet,2006,4.4,3-Mar-06
